Method,Group,Samples,Pass Rate (%),Avg Latency (s),Std Latency,Avg Input Tokens,Avg Output Tokens,Avg Total Tokens,Avg Chars,Memory Delta (MB),Avg Generation Time (s)
vLLM GBNF,full_promote,21,100.0,118.49,37.03,248.14,2757.29,3005.43,6147.86,0.01,118.49
vLLM GBNF,mid_promote,21,100.0,60.93,4.93,177.29,1447.38,1624.67,3181.0,0.0,60.93
vLLM GBNF,min_promote,18,100.0,7.84,0.23,154.0,159.89,313.89,330.0,0.0,7.84
vLLM GBNF,Overall,60,100.0,65.15,49.76,195.1,1519.6,1714.7,3364.1,0.0,65.15
vLLM GBNF+RAG,full_promote,21,100.0,123.74,11.65,6649.43,3117.86,9767.29,6147.86,0.02,123.74
vLLM GBNF+RAG,mid_promote,21,100.0,59.94,4.82,2896.29,1446.29,4342.57,3181.0,0.0,59.94
vLLM GBNF+RAG,min_promote,18,100.0,8.01,2.13,827.67,155.0,982.67,330.0,0.0,8.01
vLLM GBNF+RAG,Overall,60,100.0,66.69,47.38,3589.3,1643.95,5233.25,3364.1,0.01,66.69
