Method,Group,Samples,Pass Rate (%),Avg Latency (s),Std Latency,Avg Input Tokens,Avg Output Tokens,Avg Total Tokens,Avg Chars,Memory Delta (MB)
vLLM GBNF,min_promote,18.0,100.0,7.835500000000001,0.23201849782578401,154.0,159.88888888888889,313.8888888888889,330.0,0.0
vLLM GBNF,mid_promote,21.0,100.0,60.92519047619048,4.927444026103746,177.28571428571428,1447.3809523809523,1624.6666666666667,3181.0,0.0
vLLM GBNF,full_promote,21.0,100.0,118.49095238095238,37.03179090029872,248.14285714285714,2757.285714285714,3005.4285714285716,6147.857142857143,0.012380952380952381
vLLM GBNF,Overall,60.0,100.0,65.1463,49.760029336573616,195.1,1519.6,1714.7,3364.1,0.004333333333333333
vLLM GBNF+RAG,min_promote,18.0,100.0,8.014944444444446,2.130827994315361,827.6666666666666,155.0,982.6666666666666,330.0,0.0
vLLM GBNF+RAG,mid_promote,21.0,100.0,59.94128571428572,4.815615948763605,2896.285714285714,1446.2857142857142,4342.571428571428,3181.0,0.0
vLLM GBNF+RAG,full_promote,21.0,100.0,123.74,11.648492136221712,6649.428571428572,3117.8571428571427,9767.285714285714,6147.857142857143,0.015238095238095238
vLLM GBNF+RAG,Overall,60.0,100.0,66.69293333333333,47.38021288254788,3589.3,1643.95,5233.25,3364.1,0.005333333333333333
