Method,Group,Samples,Pass Rate (%),Avg Latency (s),Std Latency,Avg Input Tokens,Avg Output Tokens,Avg Total Tokens
No Guard,full_promote,21,100.0,72.52,11.93,306.0,3688.0,8421.0
No Guard,mid_promote,21,100.0,52.71,16.7,224.0,1694.0,5973.0
No Guard,min_promote,18,100.0,21.29,5.7,194.0,409.0,2305.0
No Guard,Overall,60,100.0,50.22,24.22,244.0,2007.0,5730.0
RAG,full_promote,21,100.0,71.29,15.14,7837.0,2774.0,15361.0
RAG,mid_promote,21,100.0,44.66,7.22,3741.0,933.0,8599.0
RAG,min_promote,18,100.0,10.34,2.25,1458.0,134.0,2439.0
RAG,Overall,60,100.0,43.68,26.6,4490.0,1337.0,9118.0
